date,V13 Dec13,V13 Dec14 - close,V14 Dec14 - close
1/3/12,15.4,0,0
1/4/12,15.4,0,0
1/5/12,15.3,0,0
1/6/12,13.75,0,0
1/9/12,13.75,0,0
1/10/12,14.1,0,0
1/11/12,14.1,0,0
1/12/12,14.1,0,0
1/13/12,13.8,0,0
1/16/12,13.8,0,0
1/17/12,13.8,0,0
1/18/12,13.75,0,0
1/19/12,13.75,0,0
1/20/12,13.75,0,0
1/23/12,13.75,0,0
1/24/12,13.75,0,0
1/25/12,13,0,0
1/26/12,13,0,0
1/27/12,13,0,0
1/30/12,13.5,0,0
1/31/12,13.85,0,0
2/1/12,14.1,0,0
2/2/12,15.05,0,0
2/3/12,15.75,0,0
2/6/12,15.75,0,0
2/7/12,15.75,0,0
2/8/12,15.75,0,0
2/9/12,15,0,0
2/10/12,14.7,0,0
2/13/12,13.9,0,0
2/14/12,14.05,0,0
2/15/12,14.05,0,0
2/16/12,14.25,0,0
2/17/12,14.25,0,0
2/20/12,14.25,0,0
2/21/12,14.5,0,0
2/22/12,14.4,0,0
2/23/12,14.4,0,0
2/24/12,14.4,0,0
2/27/12,14.15,0,0
2/28/12,14.15,0,0
2/29/12,13.9,0,0
3/1/12,13.6,0,0
3/2/12,13.7,0,0
3/5/12,13.7,0,0
3/6/12,13.7,0,0
3/7/12,14,0,0
3/8/12,14.25,0,0
3/9/12,14.25,0,0
3/12/12,14.25,0,0
3/13/12,14.5,0,0
3/14/12,14.5,0,0
3/15/12,14.5,0,0
3/16/12,14.8,0,0
3/19/12,14.8,0,0
3/20/12,14.8,0,0
3/21/12,14.8,0,0
3/22/12,14.8,0,0
3/23/12,14.8,0,0
3/26/12,15,0,0
3/27/12,14.9,0,0
3/28/12,14.5,0,0
3/29/12,14.5,0,0
3/30/12,13.95,0,0
4/2/12,13.95,0,0
4/3/12,13.95,0,0
4/4/12,13.95,0,0
4/5/12,13.9,0,0
4/9/12,13.9,0,0
4/10/12,13.9,0,0
4/11/12,13.9,0,0
4/12/12,13.75,0,0
4/13/12,13.8,0,0
4/16/12,14,0,0
4/17/12,14.8,0,0
4/18/12,14.8,0,0
4/19/12,15.25,0,0
4/20/12,16.2,0,0
4/23/12,15.45,0,0
4/24/12,15.85,0,0
4/25/12,15.95,0,0
4/26/12,15.95,0,0
4/27/12,15.95,0,0
4/30/12,15.95,0,0
5/1/12,15.95,0,0
5/2/12,15.5,0,0
5/3/12,15.5,0,0
5/4/12,14.95,0,0
5/7/12,15,0,0
5/8/12,15,0,0
5/9/12,15.2,0,0
5/10/12,15.3,0,0
5/11/12,15.3,0,0
5/14/12,15.3,0,0
5/15/12,15.5,0,0
5/16/12,15.3,0,0
5/17/12,15.35,0,0
5/18/12,15.35,0,0
5/21/12,15.35,0,0
5/22/12,15.35,0,0
5/23/12,15.25,0,0
5/24/12,15.25,0,0
5/25/12,15.15,0,0
5/28/12,15.15,0,0
5/29/12,15.3,0,0
5/30/12,15.3,0,0
5/31/12,15.5,0,0
6/1/12,15.35,0,0
