,date,V13 Dec13 - price,V14 Dec14 - price,V14 Dec14 - volume,V15 Dec15 - price,V15 Dec15 - volume,V16 Dec16 - price,V16 Dec16 - volume,V17 Dec17 - price,V17 Dec17 - volume, , 
174,5/2/12,15.86,,,,,,,,,,
175,5/3/12,15.77,,,,,,,,,,
176,5/4/12,15.57,,,,,,,,,,
177,5/7/12,15.38,,,,,,,,,,
178,5/8/12,15.19,,,,,,,,,,
179,5/9/12,15.13,,,,,,,,,,
180,5/10/12,15.09,,,,,,,,,,
181,5/11/12,15.16,,,,,,,,,,
182,5/14/12,15.22,,,,,,,,,,
183,5/15/12,15.32,,,,,,,,,,
184,5/16/12,15.34,,,,,,,,,,
185,5/17/12,15.35,,,,,,,,,,
186,5/18/12,15.36,,,,,,,,,,
187,5/21/12,15.37,,,,,,,,,,
188,5/22/12,15.34,,,,,,,,,,
189,5/23/12,15.33,,,,,,,,,,
190,5/24/12,15.31,,,,,,,,,,
191,5/25/12,15.27,,,,,,,,,,
192,5/28/12,15.23,,,,,,,,,,
193,5/29/12,15.22,,,,,,,,,,
194,5/30/12,15.23,,,,,,,,,,
195,5/31/12,15.28,,,,,,,,,,
196,6/1/12,15.32,,,,,,,,,,
197,6/4/12,15.36,,,,,,,,,,
198,6/5/12,15.37,,,,,,,,,,
199,6/6/12,15.38,,,,,,,,,,
200,6/7/12,15.38,,,,,,,,,,
201,6/8/12,15.55,,,,,,,,,,
202,6/11/12,15.66,,,,,,,,,,
203,6/12/12,15.71,,,,,,,,,,
204,6/13/12,15.76,,,,,,,,,,
205,6/14/12,15.78,,,,,,,,,,
206,6/15/12,15.74,,,,,,,,,,
207,6/18/12,15.76,,,,,,,,,,
208,6/19/12,15.9,,,,,,,,,,
209,6/20/12,16.13,,,,,,,,,,
210,6/21/12,16.36,,,,,,,,,,
211,6/22/12,16.59,,,,,,,,,,
212,6/25/12,16.82,,,,,,,,,,
213,6/26/12,17.03,,,,,,,,,,
214,6/27/12,17.15,,,,,,,,,,
215,6/28/12,17.45,,,,,,,,,,
216,6/29/12,17.69,,,,,,,,,,
217,7/2/12,17.93,,,,,,,,,,
218,7/3/12,18.13,,,,,,,,,,
219,7/4/12,18.33,,,,,,,,,,
220,7/5/12,18.39,,,,,,,,,,
221,7/6/12,18.43,,,,,,,,,,
